date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:44	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:44%20GMT	https://auralist.glitch.me/like/bot/706590839530455081	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/706590839530455081	(from https://auralist.glitch.me/bots/706590839530455081)
14:26:44	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.20.delayed	(from https://auralist.glitch.me/bots/706590839530455081)
14:26:44	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:44%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/736025853707681902)
14:26:44	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.22.delayed	(from https://auralist.glitch.me/bots/736025853707681902)
14:26:44	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:44%20GMT	https://auralist.glitch.me/like/bot/736025853707681902	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/736025853707681902	(from https://auralist.glitch.me/bots/736025853707681902)
14:26:45	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.24.delayed	(from https://auralist.glitch.me/bots/736025853707681902)
14:26:45	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:44%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/763042495655313479)
14:26:45	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.26.delayed	(from https://auralist.glitch.me/bots/763042495655313479)
14:26:45	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:45%20GMT	https://auralist.glitch.me/like/bot/763042495655313479	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/763042495655313479	(from https://auralist.glitch.me/bots/763042495655313479)
14:26:45	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.28.delayed	(from https://auralist.glitch.me/bots/763042495655313479)
14:26:45	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:45%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/769945498651852821)
14:26:45	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.2a.delayed	(from https://auralist.glitch.me/bots/769945498651852821)
14:26:46	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:45%20GMT	https://auralist.glitch.me/like/bot/769945498651852821	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/769945498651852821	(from https://auralist.glitch.me/bots/769945498651852821)
14:26:46	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.2c.delayed	(from https://auralist.glitch.me/bots/769945498651852821)
14:26:46	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:45%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/778906824514338859)
14:26:46	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.2e.delayed	(from https://auralist.glitch.me/bots/778906824514338859)
14:26:46	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:46%20GMT	https://auralist.glitch.me/like/bot/778906824514338859	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/778906824514338859	(from https://auralist.glitch.me/bots/778906824514338859)
14:26:46	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.30.delayed	(from https://auralist.glitch.me/bots/778906824514338859)
14:26:46	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:46%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/716251377470537828)
14:26:47	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.32.delayed	(from https://auralist.glitch.me/bots/716251377470537828)
14:26:47	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:46%20GMT	https://auralist.glitch.me/like/bot/716251377470537828	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/716251377470537828	(from https://auralist.glitch.me/bots/716251377470537828)
14:26:47	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.34.delayed	(from https://auralist.glitch.me/bots/716251377470537828)
14:26:47	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:47%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/774060571334410240)
14:26:47	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.36.delayed	(from https://auralist.glitch.me/bots/774060571334410240)
14:26:47	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:47%20GMT	https://auralist.glitch.me/like/bot/774060571334410240	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/774060571334410240	(from https://auralist.glitch.me/bots/774060571334410240)
14:26:47	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.38.delayed	(from https://auralist.glitch.me/bots/774060571334410240)
14:26:47	102/102	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:47%20GMT	https://auralist.glitch.me/discord	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/discord	(from https://auralist.glitch.me/bots/717089593576521773)
14:26:48	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.3a.delayed	(from https://auralist.glitch.me/bots/717089593576521773)
14:26:48	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Dec%202020%2013:26:47%20GMT	https://auralist.glitch.me/like/bot/717089593576521773	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/like/bot/717089593576521773	(from https://auralist.glitch.me/bots/717089593576521773)
14:26:48	0/-1	---M--	302	error ('')			https://auralist.glitch.me/auth	C:/Users/Admin/Desktop/jaja/jaja/auralist.glitch.me/auth.3c.delayed	(from https://auralist.glitch.me/bots/717089593576521773)
